0Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
36,0.688769,0.831286,0.674347,0.642629,0.685496,1.813408,1.813408,0.201333,0.385315,0.421704,0.436280,16.715924,37.646946,36.183859,0.748677,7.347566,
37,0.683179,0.834054,0.681356,0.649435,0.666026,2.797573,2.797573,0.202371,0.383629,0.419672,0.435735,16.698985,37.565782,36.093131,0.746686,7.375459,
38,0.689080,0.832162,0.689506,0.657211,0.671513,2.222030,2.990355,0.202800,0.384175,0.420962,0.438686,16.782006,37.474004,35.975694,0.746715,7.783194,
39,0.682981,0.836113,0.684835,0.646851,0.664714,2.222030,2.222030,0.204197,0.384574,0.421870,0.442555,16.889164,37.419886,35.930585,0.748191,7.021787,
40,0.685708,0.832216,0.670847,0.660149,0.668349,2.802533,3.206842,0.204365,0.386093,0.423513,0.445040,16.953172,37.365968,35.849024,0.749313,7.838057,
41,0.678708,0.828763,0.679559,0.638726,0.663385,2.802533,2.802533,0.207112,0.386124,0.423455,0.443533,17.051513,37.254359,35.728203,0.750562,6.821947,
42,0.683927,0.827864,0.672965,0.637047,0.678360,3.726456,3.726456,0.206768,0.386036,0.423171,0.441821,17.173509,37.160002,35.621063,0.749502,8.204250,
43,0.695443,0.832611,0.687913,0.675973,0.673890,3.697068,4.123726,0.207619,0.385482,0.422425,0.439898,17.302340,37.027653,35.484665,0.751383,9.721682,
44,0.689220,0.829590,0.691208,0.676015,0.659444,3.697068,3.697068,0.207880,0.384617,0.422411,0.442996,17.415378,36.926486,35.366572,0.750232,8.972626,
45,0.683914,0.831697,0.673331,0.640235,0.675008,4.100134,4.100134,0.208839,0.383600,0.420711,0.439596,17.573024,36.814142,35.242994,0.749232,8.504780,
46,0.677873,0.833068,0.674518,0.616165,0.674289,4.724904,4.724904,0.206994,0.382984,0.420549,0.435563,17.645054,36.662298,35.095566,0.747679,8.113031,
47,0.686093,0.823681,0.665412,0.677618,0.661765,4.177074,4.942682,0.205875,0.382035,0.419873,0.439563,17.812397,36.527859,34.939160,0.745692,8.946503,
48,0.670240,0.824646,0.657876,0.649017,0.645964,4.177074,4.177074,0.207059,0.379283,0.418306,0.443760,17.989235,36.362229,34.777801,0.745444,6.995757,
49,0.679659,0.834820,0.656711,0.637801,0.670632,4.606435,4.606435,0.206492,0.381128,0.419380,0.440748,18.099814,36.198312,34.575625,0.744515,8.462085,
50,0.660051,0.824290,0.665566,0.607013,0.644842,4.954046,4.954046,0.208408,0.381540,0.420476,0.440948,18.262806,35.964018,34.339942,0.745696,6.072157,
51,0.663232,0.815300,0.651834,0.630172,0.645674,6.432497,6.432497,0.203757,0.377029,0.414432,0.438692,18.438750,35.750416,34.111064,0.743813,7.815828,
52,0.642731,0.821931,0.644986,0.563085,0.639547,6.703073,6.703073,0.202021,0.373079,0.408995,0.429233,18.622696,35.558589,33.922858,0.743972,5.290470,
53,0.654475,0.809034,0.627552,0.600872,0.653899,7.283535,7.505417,0.198712,0.369979,0.407558,0.432975,18.857435,35.313214,33.676680,0.741987,7.508985,
54,0.630631,0.808049,0.608949,0.532977,0.644592,6.182899,7.283535,0.199524,0.369716,0.407553,0.432290,19.116499,35.091563,33.453685,0.744418,3.559078,
55,0.632377,0.805854,0.601388,0.587056,0.621780,6.182899,6.182899,0.201349,0.367411,0.404094,0.427994,19.263732,34.908575,33.257231,0.745324,3.767120,
56,0.621598,0.804717,0.589756,0.544300,0.626435,6.369884,7.002414,0.202427,0.365004,0.399936,0.424430,19.425748,34.702098,33.043875,0.747645,2.574049,
57,0.623084,0.805949,0.589209,0.553911,0.624678,6.369884,6.369884,0.200754,0.362671,0.398414,0.419394,19.595659,34.551736,32.908669,0.750325,2.766653,
58,0.615963,0.804542,0.592909,0.557167,0.605381,7.191167,7.284293,0.201081,0.364287,0.397492,0.418448,19.759233,34.382378,32.728632,0.750914,2.431710,
59,0.628864,0.806088,0.601707,0.559877,0.630409,7.191167,7.191167,0.204040,0.363400,0.396215,0.416073,19.928863,34.221328,32.577117,0.755206,4.003782,
60,0.625452,0.814150,0.602391,0.562996,0.616050,7.199046,7.199046,0.202347,0.358180,0.390126,0.407819,19.701820,33.826698,32.236761,0.726753,3.658178,
61,0.641094,0.817640,0.600671,0.633403,0.609055,8.525913,8.525913,0.204711,0.361293,0.392402,0.405998,19.761910,33.652954,32.070895,0.734291,6.477797,
62,0.619047,0.808628,0.632210,0.545309,0.603417,8.291928,9.278298,0.210900,0.367537,0.396648,0.407140,19.780288,33.459980,31.864784,0.736396,3.228872,
63,0.623540,0.816523,0.613478,0.576332,0.598188,8.291928,8.291928,0.213536,0.368067,0.396822,0.410950,19.709056,33.226093,31.646876,0.739826,3.821016,
64,0.642445,0.825029,0.601494,0.551860,0.657972,7.777129,8.611329,0.215580,0.371651,0.400988,0.410975,19.683631,33.000719,31.434618,0.746208,5.649456,
65,0.581193,0.824123,0.623589,0.495556,0.545548,7.777129,7.777129,0.219712,0.376562,0.405173,0.413207,19.595571,32.801840,31.248012,0.749988,0.000000,
66,0.609191,0.823696,0.585310,0.528209,0.602068,7.933662,7.933662,0.221370,0.376546,0.402646,0.409204,19.461464,32.563478,31.040546,0.749512,1.305259,
67,0.570217,0.829690,0.605543,0.484863,0.528689,7.106666,8.132382,0.222720,0.375115,0.399973,0.409108,19.349160,32.363626,30.848185,0.754084,0.000000,
68,0.544596,0.827352,0.593528,0.447170,0.498658,5.925386,7.106666,0.222061,0.373817,0.399405,0.404956,19.254628,32.181603,30.678654,0.756530,0.000000,
69,0.556216,0.828059,0.578533,0.433774,0.541568,5.767011,5.925386,0.220451,0.371811,0.398541,0.405978,19.078477,31.993614,30.500513,0.755213,0.000000,
70,0.532634,0.825998,0.584024,0.437508,0.484479,5.648324,5.767011,0.218291,0.371087,0.398747,0.406830,18.951641,31.826682,30.356297,0.756754,0.000000,
71,0.533811,0.825753,0.557287,0.430059,0.499067,5.337929,5.648324,0.216473,0.369290,0.398167,0.407837,18.793384,31.666577,30.216952,0.752717,0.000000,
72,0.536291,0.821230,0.574728,0.434973,0.497108,5.337929,5.337929,0.216314,0.364543,0.392622,0.399915,18.628618,31.526701,30.094739,0.749549,0.000000,
73,0.525186,0.823645,0.569626,0.402524,0.492046,5.423270,5.423270,0.215607,0.362996,0.391528,0.400680,18.526499,31.413692,29.997579,0.750390,0.000000,
74,0.518711,0.818954,0.557952,0.461635,0.446595,5.485250,5.485250,0.213927,0.361014,0.388592,0.395286,18.424662,31.288789,29.888640,0.746886,0.000000,
75,0.522463,0.821211,0.556110,0.433980,0.471540,5.622863,5.696702,0.211850,0.355409,0.383526,0.389101,18.319951,31.157357,29.765571,0.744470,0.000000,
76,0.520734,0.822498,0.570139,0.412747,0.480289,5.599935,5.622863,0.207658,0.349275,0.377197,0.384245,18.162161,31.039334,29.662798,0.739010,0.000000,
77,0.498646,0.818130,0.559011,0.419481,0.425175,5.599935,5.599935,0.205106,0.344433,0.372384,0.382328,18.052514,30.929682,29.556366,0.736642,0.000000,
78,0.504247,0.820340,0.547068,0.408151,0.454138,5.801443,5.801443,0.203037,0.341116,0.368647,0.377895,17.871676,30.817201,29.452840,0.734003,0.000000,
79,0.499679,0.818354,0.552385,0.391378,0.454277,5.971325,5.971325,0.198144,0.335269,0.362940,0.371696,17.721820,30.705979,29.356907,0.729934,0.000000,
80,0.496032,0.824684,0.561984,0.412238,0.425761,6.656835,6.656835,0.191598,0.326621,0.354798,0.365202,17.525253,30.584051,29.247827,0.722373,0.000000,
81,0.504722,0.825705,0.551023,0.439171,0.433389,7.455989,7.455989,0.187651,0.324037,0.353706,0.369036,17.405795,30.512469,29.185315,0.718692,0.000000,
82,0.527998,0.822636,0.589700,0.433128,0.478804,8.342865,8.342865,0.182872,0.318173,0.347631,0.359538,17.264526,30.416307,29.096967,0.710831,0.000000,
83,0.529805,0.823470,0.595485,0.421462,0.488992,8.812484,9.062709,0.181127,0.320301,0.350597,0.365316,17.103164,30.470720,29.158829,0.705828,0.000000,
84,0.545599,0.825990,0.595288,0.451794,0.503153,8.712184,8.812484,0.186032,0.330655,0.362919,0.378445,17.001995,30.848997,29.567935,0.707944,0.000000,
85,0.528965,0.833825,0.581600,0.443788,0.471137,8.712184,8.712184,0.191489,0.340847,0.374548,0.388754,17.029988,31.216688,29.947236,0.712953,0.000000,
86,0.583920,0.835334,0.618946,0.484013,0.556754,8.629205,8.764275,0.197950,0.355090,0.388285,0.405313,17.173956,31.630283,30.166955,0.721984,0.000000,
87,0.618812,0.840182,0.623580,0.549232,0.590320,8.492332,8.629205,0.203197,0.372118,0.405338,0.417118,17.293936,32.291981,30.452260,0.729210,3.421532,
88,0.612312,0.847384,0.638214,0.526769,0.581273,8.394439,8.492332,0.212113,0.388274,0.420875,0.430102,17.483344,33.139430,30.815204,0.736762,2.070888,
89,0.643291,0.845771,0.655460,0.610937,0.593445,8.394439,8.394439,0.219038,0.406392,0.437537,0.446487,17.616841,33.702796,30.854628,0.738556,5.715151,
90,0.628635,0.847326,0.666334,0.576770,0.578690,8.358486,8.427804,0.223843,0.421367,0.452388,0.460784,17.676728,34.160413,30.806968,0.740546,3.541106,
91,0.655760,0.865435,0.683161,0.611144,0.605485,8.057278,8.358486,0.234246,0.439037,0.471935,0.479672,17.472614,34.337561,30.656966,0.739136,6.807294,
92,0.723804,0.867322,0.692294,0.642373,0.732665,7.647340,8.057278,0.245091,0.456116,0.486602,0.494586,17.143942,34.632002,30.587720,0.736136,16.198072,
93,0.691764,0.870075,0.664390,0.609370,0.688773,7.207007,7.647340,0.260351,0.482679,0.513965,0.517794,17.035059,34.768828,30.555791,0.746545,11.064160,
94,0.753394,0.868270,0.686318,0.670126,0.783962,7.207007,7.207007,0.269578,0.502796,0.537547,0.544144,17.306713,35.197660,30.921966,0.756220,21.121217,
95,0.791432,0.861478,0.713126,0.726635,0.829272,7.219188,7.219188,0.278912,0.514727,0.545200,0.550887,17.540219,35.841458,31.729162,0.762281,27.343378,
96,0.807984,0.851461,0.699230,0.723654,0.877316,7.620285,7.620285,0.292120,0.533794,0.564641,0.566010,18.002278,36.416994,32.589853,0.768981,30.872930,
97,0.755789,0.840452,0.679922,0.709202,0.779639,7.662870,7.901640,0.314356,0.562768,0.595696,0.599561,18.542211,37.902060,34.820100,0.780971,23.248315,
