id,solverName,downsample,LSize,kmax,chunkSize,rr,threshold_coverage,numOfSourceViews,numOfCamera,tvNum,coverage_estimated_first_order_diff,coverage_estimated_second_order_diff,log
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,0,0.20041923860191835,-0.04456378383199988,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,1,0.25483300231922046,-0.05008325314000006,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,2,0.13724627379225307,-0.027395533003999994,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,3,0.6469819730777537,-0.0036582562762221826,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,4,0.6098261989766127,-0.0008455880028889196,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,5,0.06199785689290027,0.004320254173999949,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,6,0.12841878354071712,-0.013647616989999944,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,7,0.6307845606958031,0.018801557755733445,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,8,0.5636261268015295,0.0005290525738222418,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,9,0.5658703786487895,0.009822333673844441,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,10,0.5603745841324106,-0.0002860021758611109,635
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,0,0.923169718711116,-0.02540816952844438,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,1,0.40775457755180344,-0.028932056410000073,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,2,0.31567875345527074,-0.0093685955420999,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,3,0.8692731504360355,-0.03727942775688897,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,4,0.2968082828237477,-0.11422985992399992,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,5,0.4439814468205743,-0.14127428133200004,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,6,0.48686674215872894,-0.11501086288999995,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,7,0.22615781444385563,-0.09450393926449985,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,8,0.6572031269433338,-0.005162323511400058,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,9,0.7172383485136292,0.005915306649399987,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,10,0.6426497128347586,-0.0033804976841388945,1222
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,0,0.9522685195234653,-0.07679464519155554,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,1,0.46768601197980564,-0.13594939763000002,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,2,0.47143718657442957,-0.13185887160059984,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,3,0.2813629257484447,-0.08506156043620017,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,4,0.22400810055912368,-0.06690738221000003,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,5,0.8834311731168024,-0.030813488796044508,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,6,0.9289980349213431,-0.034924624684422145,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,7,0.8290607912626194,-0.023686532593022336,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,8,-0.2615999462341232,-0.030098811206699883,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,9,0.1971396834201209,-0.1129806016146,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,10,0.6188891967879006,-0.013903049731055606,1388
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,0,0.6662809508362035,-0.11462400323120003,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,1,1.115080788088577,-0.09561222279935555,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,2,0.4609723435533437,-0.09053098824369987,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,3,0.5659511714586647,-0.12485571574319998,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,4,0.4411482792390087,-0.10244852470139987,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,5,1.0789224714318948,-0.07432744079546671,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,6,1.118378467065014,-0.06229161733171107,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,7,0.48384529511884256,-0.07164012212430004,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,8,0.11107996513886009,-0.038592280207800034,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,9,0.8551865208977233,-0.04946657139211108,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,10,0.10180413275190237,-0.03418204897529997,1672
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,0,0.6696736283413949,-0.15524303460720013,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,1,1.1201892003852194,-0.08576010480142215,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,2,1.0297028488632098,-0.06195471072610015,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,3,0.5742946726701561,-0.16176405876160005,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,4,0.49146099557684164,-0.1516052959673999,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,5,1.1316622210749374,-0.12254159483868887,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,6,0.7166027153903649,-0.16785218012760006,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,7,0.5284692425000723,-0.1318103998358,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,8,0.009184162904090076,-0.031041767029699963,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,9,0.2005376931452063,-0.05146444804579997,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,10,0.7409307685176801,-0.0008055798839111672,1737
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,0,0.3955018154288925,0.023591802052666644,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,1,-0.16870961122679284,0.04879108094200002,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,2,0.3448845609915443,0.04619534035208883,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,3,-0.26701121597270583,0.004505722826799952,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,4,0.4253722837908003,-0.00040434925997767657,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,5,0.4863461932549622,-0.010326573484244483,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,6,0.49271433347148963,-0.011597368686177778,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,7,0.4802393011883913,-0.009719676971177815,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,8,-0.5576258900697835,-0.028114947243900068,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,9,-0.36527064758898,0.038084540054599936,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,10,0.3288927696445415,-0.014489110869605581,398
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,0,0.6861652912221496,-0.18660668824119986,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,1,0.6125680541776022,-0.13348615152020005,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,2,1.0832338473704786,-0.053463538142455524,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,3,1.0943884863753572,-0.13383053676273338,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,4,0.5252968005699188,-0.2345463862571998,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,5,0.7193006585302246,-0.28620289174799995,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,6,0.788337744812309,-0.3104063428617999,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,7,0.5437559340726323,-0.20863537458160009,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,8,0.04222593706361799,-0.0581102300273999,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,9,0.9254679392355987,-0.039494430886411025,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,7,10,0.7471641612087063,-0.010458210212050068,1721
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,0,0.1263595529122863,-0.02422520310711107,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,1,-0.036312243648281894,-0.0653308524959999,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,2,-0.7754109850414652,-0.10544538615999999,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,3,0.1890963855771553,-0.007035503220888861,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,4,0.2620520810584972,0.021224470674422208,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,5,0.25651283389870344,0.025675536762422235,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,6,0.23329089400675007,0.023597135722533358,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,7,0.2124436986401244,0.016666245741111085,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,8,-0.8527201682663816,-0.03487950635299997,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,9,-0.04963904066470526,-0.061217013726222236,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,2,10,0.0388963425011829,-0.02091011575115559,36
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,0,0.02516747882885806,-0.003021070645799817,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,1,0.6061122150885814,-0.012964737938955584,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,2,0.5568772582904221,-0.011115936776822322,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,3,0.5820901318534982,-0.012900844977366654,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,4,-0.06750538798143879,-0.0038522666914000414,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,5,0.6022252737557161,-0.0024160738947111016,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,6,0.6423950560487015,-0.019491178746266602,822
