id,solverName,downsample,LSize,kmax,chunkSize,rr,threshold_coverage,averageFirstOrderDiff,averageSecondOrderDiff
idF5_16users_5,kmax2Cvg,5,5,2,32,1.0,0.7,0.3524535892152259,0.04851173822133819
idF5_16users_5,kmax2Cvg,5,5,3,32,1.0,0.7,0.38068801487454423,0.031708396541662444
idF5_16users_5,kmax2Cvg,5,5,4,32,1.0,0.7,0.39544555318576885,0.03225517754192675
idF5_16users_5,kmax2Cvg,5,5,5,32,1.0,0.7,0.41008777161979276,0.040355522638972435
idF5_16users_5,kmax2Cvg,5,5,6,32,1.0,0.7,0.3900424229984437,0.03544637851176631
idF5_16users_5,kmax2Cvg,5,5,7,32,1.0,0.7,0.401123580709677,0.030307783634306886
idF5_16users_5,kmax2Cvg,5,5,8,32,1.0,0.7,0.3893598883308594,0.02609440896877217
