id,solverName,downsample,LSize,kmax,chunkSize,rr,threshold_coverage,pose,Frame,psnr_y,float_ssim,vmaf
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,0,21.555399,0.953936,47.206901
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,1,22.691416,0.961085,51.753108
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,2,23.288296,0.964256,52.218325
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,3,23.589982,0.966863,52.568857
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,4,23.742389,0.966386,52.70731
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,5,23.81728,0.966717,52.80085
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,6,23.855758,0.966899,52.82751
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,7,23.876276,0.96698,52.862123
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,8,23.885581,0.967017,52.861249
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,9,23.891139,0.967056,52.903288
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,10,23.893573,0.967063,52.873928
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,11,23.89437,0.967067,52.93257
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,12,23.459895,0.953245,48.580772
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,13,22.99577,0.938465,45.5399
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,14,22.787146,0.931241,42.193241
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,15,22.719609,0.93358,42.951725
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,16,22.552789,0.92455,41.632994
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,17,22.714152,0.929733,43.459509
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,18,22.936797,0.935629,45.039851
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,19,22.861918,0.93502,43.219909
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,20,22.686142,0.932664,43.673869
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,21,22.71509,0.939448,45.633169
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,22,22.872934,0.93825,45.428705
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,23,22.486139,0.927513,40.998996
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,24,21.875388,0.929654,40.933373
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,25,22.247754,0.928839,40.467714
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,26,22.178969,0.930534,41.001323
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,27,22.636777,0.934619,42.238183
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,28,22.854346,0.940611,44.334585
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,29,22.5803,0.934543,45.274999
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,30,22.856348,0.937088,46.117306
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,31,22.848001,0.934238,44.752555
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,32,22.892459,0.935432,44.101317
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,33,22.816528,0.932486,43.34161
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,34,22.74146,0.930027,42.524449
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,35,22.711594,0.92829,43.39773
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,36,22.888004,0.933571,46.212462
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,37,23.014786,0.934227,47.824067
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,38,23.190689,0.937004,48.513401
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,39,23.150329,0.93181,47.665159
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,40,23.217858,0.930943,48.375292
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,41,23.323949,0.929681,49.00164
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,42,23.373355,0.926522,49.321298
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,43,23.517246,0.927899,50.482009
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,44,23.578988,0.927559,49.946727
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,45,23.688141,0.925958,50.886866
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,46,23.790572,0.924637,52.301486
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,47,23.857146,0.922153,50.431152
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,48,23.91715,0.920738,49.8241
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,49,23.988449,0.918602,50.859803
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,50,24.055817,0.917771,51.84985
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,51,24.056794,0.914871,52.570394
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,52,24.076558,0.913677,53.116242
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,53,23.945644,0.909535,52.749002
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,54,23.851643,0.908091,51.685038
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,55,23.702076,0.905934,50.682626
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,56,23.524391,0.902353,50.706855
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,57,23.376074,0.897544,49.18072
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,58,23.155599,0.893655,51.101591
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,59,22.894772,0.890142,49.317902
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,60,18.037176,0.862754,32.499394
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,61,18.768404,0.871652,33.44892
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,62,19.59934,0.883697,35.659653
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,63,20.332647,0.894413,38.1188
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,64,20.970158,0.905218,38.866365
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,65,21.600187,0.91475,41.96775
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,66,22.551661,0.927019,46.771767
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,67,23.593707,0.938719,45.413099
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,68,24.709766,0.946675,47.686935
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,69,25.567094,0.954245,52.187008
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,70,27.852628,0.978318,64.143507
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,71,26.603506,0.955221,52.05576
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,72,26.502938,0.954793,50.939259
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,73,26.201123,0.95179,48.652416
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,74,26.193513,0.951694,49.614709
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,75,26.076145,0.951165,49.730136
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,76,25.870103,0.94984,47.839758
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,77,25.668792,0.948828,47.383606
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,78,25.37304,0.94785,45.676743
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,79,25.134698,0.946505,43.158833
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,80,25.103999,0.946136,47.207191
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,81,25.111756,0.94522,48.122443
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,82,25.22875,0.945195,50.18915
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,83,25.285024,0.944831,52.075207
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,84,25.549785,0.947469,53.3719
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,85,26.919878,0.976815,68.573301
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,86,25.667522,0.945814,53.164964
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,87,25.973083,0.945326,54.993715
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,88,25.407985,0.93798,52.079238
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,89,25.133505,0.936607,50.381547
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,90,24.967403,0.938451,52.389578
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,91,25.398383,0.94614,52.808322
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,92,25.915838,0.951998,54.562636
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,93,26.199269,0.955324,56.593808
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,94,26.393054,0.958256,56.201161
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,95,27.485772,0.976821,65.836919
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,96,24.047734,0.951015,47.197412
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,97,21.866882,0.934153,42.987696
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,98,20.448262,0.920624,38.94414
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,99,19.968785,0.910496,40.308876
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,100,20.894796,0.899233,34.677968
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,101,21.777493,0.896834,32.530567
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,102,19.647445,0.876293,25.159099
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,103,17.904831,0.855969,20.074891
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,104,17.808509,0.847428,12.965251
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,105,17.499111,0.843919,8.822712
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,106,16.962588,0.834796,7.480492
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,107,16.809564,0.824604,6.404654
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,108,16.846999,0.813006,8.046344
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,109,16.765233,0.804206,4.597554
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,110,16.705084,0.795722,2.015427
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,111,16.545627,0.792483,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,112,16.349662,0.793407,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,113,16.484774,0.803017,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,114,16.145917,0.792633,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,115,15.842277,0.784406,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,116,15.673506,0.777743,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,117,15.656417,0.772717,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,118,15.527403,0.767373,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,119,15.444325,0.76494,0.0
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,120,18.461807,0.907672,37.304879
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,121,18.297835,0.9049,37.43245
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,122,18.209828,0.901717,38.4773
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,123,18.10633,0.89845,35.536781
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,124,18.040244,0.900785,34.561823
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,125,18.007241,0.900842,32.921062
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,126,17.903128,0.89718,29.841942
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,127,17.800546,0.895749,30.036893
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,128,17.678245,0.891544,29.18897
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,129,17.563957,0.889979,29.028193
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,130,17.407032,0.886646,29.981683
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,131,17.201847,0.884178,32.570627
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,132,16.803738,0.87785,32.296637
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,133,16.512235,0.873366,28.005426
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,134,16.455863,0.873854,27.841051
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,135,16.39376,0.87407,27.767518
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,136,16.424566,0.876156,29.445283
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,137,16.59369,0.880873,31.212147
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,138,16.926008,0.887776,35.490789
idF5_16users_3,NSA,5,3,2,32,1.0,0.7,0,139,17.205658,0.89689,33.099572
